dataset,model,mode,canonical_run,mapping_status,bootstrap_status,point_macro_auroc,ci_low,ci_high,iterations,helper_path,provenance
ptbxl_all,S4,Finetuning,PTBXL_ALL_S4_FINETUNING_FORMAL,PASS,BLOCKED_EXISTING_PROVENANCE,0.9408470694,,,,,REUSED_LEGACY_55_RUNS; 
ptbxl_all,Net1D,Finetuning,PTBXL_ALL_NET1D_FINETUNING_FORMAL,PASS,BLOCKED_EXISTING_PROVENANCE,0.9299172773,,,,,REUSED_LEGACY_55_RUNS; 
ptbxl_sub,ECGFounder,Finetuning,PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL,PASS,COMPLETED,0.9417865948230767,0.9110910624265671,0.9510943531990051,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL/test_0_epoch_100_agg.npz
ptbxl_sub,ECGFounder,Frozen,PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL,PASS,COMPLETED,0.9382073766325973,0.909586314857006,0.9464298740029335,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL/test_0_epoch_100_agg.npz
ptbxl_sub,ECGFounder,Linear,PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL,PASS,COMPLETED,0.9437089716429289,0.9169285327196122,0.9516828447580338,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-JEPA,Finetuning,PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL,PASS,COMPLETED,0.9331787357525979,0.9024059727787972,0.9420099064707756,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-JEPA,Frozen,PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL,PASS,COMPLETED,0.9347207171608186,0.9066148921847343,0.9428438872098923,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-JEPA,Linear,PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL,PASS,COMPLETED,0.9146194939756961,0.8895678818225861,0.929827219247818,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz
ptbxl_sub,ST-MEM,Finetuning,PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03,PASS,COMPLETED,0.9365498320984851,0.9053648233413696,0.9457270100712776,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz
ptbxl_sub,ST-MEM,Frozen,PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL,PASS,COMPLETED,0.9212773036057852,0.8888367667794228,0.9320247277617455,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz
ptbxl_sub,ST-MEM,Linear,PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL,PASS,COMPLETED,0.9148336391255671,0.8821931779384613,0.9249387562274933,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz
ptbxl_sub,MERL,Finetuning,PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,PASS,COMPLETED,0.934417683331577,0.899165304005146,0.944717375934124,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/test_0_epoch_100_agg.npz
ptbxl_sub,MERL,Frozen,PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1,PASS,COMPLETED,0.9126117081916287,0.8800609365105629,0.9228876695036888,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/test_0_epoch_100_agg.npz
ptbxl_sub,MERL,Linear,PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1,PASS,COMPLETED,0.8924090142011554,0.8608739003539085,0.9056489869952202,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/test_0_epoch_100_agg.npz
ptbxl_sub,ECGFM-KED,Finetuning,PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,PASS,COMPLETED,0.9056376137083256,0.8776725187897683,0.9198644638061524,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/test_0_epoch_0_agg.npz
ptbxl_sub,ECGFM-KED,Frozen,PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,PASS,COMPLETED,0.9133209110207481,0.8830658942461014,0.9241976097226143,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/test_0_epoch_0_agg.npz
ptbxl_sub,ECGFM-KED,Linear,PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,PASS,COMPLETED,0.8674198274876407,0.8390335500240326,0.8916902467608452,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/test_0_epoch_0_agg.npz
ptbxl_sub,HuBERT-ECG,Finetuning,PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3,PASS,COMPLETED,0.9257220848297101,0.8956966206431389,0.9357872113585473,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=746; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/test_0_epoch_0_agg.npz
ptbxl_sub,HuBERT-ECG,Frozen,PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3,PASS,COMPLETED,0.9019865466210889,0.8708568170666695,0.9123958185315132,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=746; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/test_0_epoch_0_agg.npz
ptbxl_sub,HuBERT-ECG,Linear,PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3,PASS,COMPLETED,0.8958144901266267,0.864751809835434,0.9050058230757714,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=746; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/test_0_epoch_0_agg.npz
ptbxl_sub,ECG-CPC,Finetuning,HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_FINETUNING__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY,PASS,COMPLETED,0.939355526159927,0.9064395174384117,0.9494918555021286,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-CPC,Frozen,HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_FROZEN__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY,PASS,COMPLETED,0.9355913948850507,0.9085262715816498,0.9422409787774086,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_FROZEN_FORMAL_052_02/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-CPC,Linear,HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_LINEAR__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY,PASS,COMPLETED,0.8861611568482203,0.8565721765160561,0.8948589563369751,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_LINEAR_FORMAL_052_03/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-FM,Finetuning,HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_FINETUNING__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY,PASS,COMPLETED,0.9238766269677311,0.8912225380539894,0.9337662339210511,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-FM,Frozen,HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_FROZEN__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY,PASS,COMPLETED,0.9067981850900095,0.8773800507187843,0.9163503959774971,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_FROZEN_FORMAL_052_08/test_0_epoch_100_agg.npz
ptbxl_sub,ECG-FM,Linear,HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_LINEAR__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY,PASS,COMPLETED,0.8789245176521392,0.8488399595022201,0.8885488092899323,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_LINEAR_FORMAL_052_09/test_0_epoch_100_agg.npz
ptbxl_sub,S4,Finetuning,PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4,PASS,COMPLETED,0.936317379712092,0.9069498673081398,0.9447631135582923,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/test_0_epoch_100_agg.npz
