"table","dataset","model","mode","old_paper_reference","new_paper_reference","old_difference","new_difference","paper_source","status"
"Table 3","ptbxl_super","S4","Finetuning","NOT_REPORTED / NA","0.932","","0.0019611755567642","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","Net1D","Finetuning","NOT_REPORTED / NA","0.924","","0.0035591309568997","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECGFounder","Frozen","0.927","0.927","","0.00053666639328","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECG-JEPA","Frozen","0.934","0.934","","-0.0050355018589561","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ST-MEM","Frozen","0.910","0.910","","0.0047763388211488","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","MERL","Frozen","0.909","0.909","","0.0023014381097846","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECGFM-KED","Frozen","0.810","0.810","","0.002137109350008","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","HuBERT-ECG","Frozen","0.883","0.883","","0.0006542745917262","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECG-CPC","Frozen","0.931","0.931","","0.0022918051170961","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECG-FM","Frozen","0.884","0.884","","0.0001570476302272","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","ECGFounder","Frozen","0.939","0.939","","-0.0007926233674027","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","ECG-JEPA","Frozen","0.934","0.934","","0.0007207171608186","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","ST-MEM","Frozen","0.931","0.931","","-0.0097226963942148","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","MERL","Frozen","0.917","0.917","","-0.0043882918083713","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","ECGFM-KED","Frozen","0.816","0.816","","0.0973209110207481","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","HuBERT-ECG","Frozen","0.903","0.903","","-0.0010134533789111","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_sub","ECG-CPC","Frozen","0.934","0.934","","0.0015913948850507","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
